City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,semera,11.501,41.201,33.8,36,15,2.24,ET,1724947510
112,bhimunipatnam,17.8833,83.4333,26.73,86,100,1.56,IN,1724947511
113,sidi salim,31.271,30.7867,28.25,59,0,4.28,EG,1724947513
114,san rafael,-34.6177,-68.3301,12.6,44,100,5.34,AR,1724947495
115,ugoofaaru,5.6667,73.0,28.24,78,78,4.47,MV,1724947515
116,xining,36.6167,101.7667,19.37,85,100,1.56,CN,1724947516
117,trashigang,27.3331,91.5542,19.81,94,43,1.32,BT,1724947517
118,khandyga,62.6667,135.6,4.72,97,95,2.84,RU,1724947518
119,carlos chagas,-17.7031,-40.7664,27.18,36,72,5.91,BR,1724947367
120,bilibino,68.0546,166.4372,0.99,83,95,1.23,RU,1724947520
121,tchibanga,-2.85,11.0333,24.33,75,100,2.92,GA,1724947523
122,lusambo,-4.9667,23.45,34.02,31,67,1.32,CD,1724947524
123,luocheng,29.3848,104.0286,26.07,92,52,2.43,CN,1724947527
124,san patricio,28.017,-97.5169,31.97,54,9,3.02,US,1724947528
125,klyuchi,52.2667,79.1667,17.18,55,75,4.43,RU,1724947529
126,grootfontein,-19.5667,18.1167,27.8,10,0,1.75,NA,1724947530
127,college,64.8569,-147.8028,9.69,95,75,2.57,US,1724947531
128,udachny,66.4167,112.4,9.72,53,78,2.69,RU,1724947532
129,goure,13.9835,10.2704,34.4,39,100,7.37,NE,1724947533
130,port elizabeth,-33.918,25.5701,13.16,80,40,5.14,ZA,1724947495
131,sao joao do piaui,-8.3581,-42.2467,34.8,19,1,5.78,BR,1724947535
132,santa rosalia,27.3167,-112.2833,32.63,36,1,1.44,MX,1724947536
133,tsiombe,-25.3,45.4833,23.66,59,0,3.11,MG,1724947537
134,ribeira grande,38.5167,-28.7,26.22,65,40,4.12,PT,1724947539
135,aripuana,-9.1667,-60.6333,37.76,17,54,2.73,BR,1724947287
136,quang ngai,15.1167,108.8,25.24,85,17,2.14,VN,1724947542
137,mildura,-34.2,142.15,20.04,43,2,12.98,AU,1724947371
138,mount pearl,47.5166,-52.7813,14.29,92,100,12.35,CA,1724947544
139,baruun-urt,46.6806,113.2792,14.38,80,0,3.15,MN,1724947545
140,banfora,10.6333,-4.7667,27.4,78,100,3.21,BF,1724947546
141,taikang,46.8333,124.4167,18.45,93,100,1.55,CN,1724947547
142,plasnica,41.4672,21.1231,24.17,51,84,0.55,MK,1724947548
143,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,87,0,5.0,RU,1724947549
144,uzgen,40.7699,73.3007,19.58,46,99,1.11,KG,1724947550
145,puerto ayora,-0.7393,-90.3518,19.19,100,95,2.24,EC,1724947552
146,touros,-5.1989,-35.4608,28.53,56,51,9.33,BR,1724947550
